"Add Forward to Cart","Forward toevoegen aan winkelwagen"
"Forward available   — an unworn product from another customer who wants to send it to you instead of returning it.","Forward beschikbaar — een ongedragen product van een andere klant die het naar u wil sturen in plaats van het terug te sturen."
"The shipping label is anonymous to protect privacy, and by skipping the warehouse, you're reducing waste and CO2 emissions. Delivery may take a bit longer, but it’s a sustainable choice!","Het verzendlabel is anoniem om de privacy te beschermen, en door het magazijn over te slaan, vermindert u afval en CO2-uitstoot. De levering kan iets langer duren, maar het is een duurzame keuze!"
